Brand,2022 Sales (millions),2022 Revenue (USD billion),2022 Net Profit (USD billion),2023 Sales (millions),2023 Revenue (USD billion),2023 Net Profit (USD billion),2024 Sales (millions),2024 Revenue (USD billion),2024 Net Profit (USD billion)
Toyota,10.5,260,25,11,275,28,11.3,285,30
Volkswagen,8.3,260,19,8.5,270,21,8.8,280,23
Ford,3.9,160,8,4,165,9,4.2,170,10
Honda,3.7,125,7,3.9,130,8,4.1,135,9
Mercedes-Benz,2,150,14,2.1,155,15,2.2,160,16
BMW,2.4,140,13,2.5,145,14,2.6,150,15
Tesla,1.3,81,11,1.6,100,13,1.9,120,15
Hyundai,3.8,110,5,3.9,115,6,4,120,7
Nissan,3.3,90,4,3.4,95,5,3.6,100,6
Chevrolet,2.1,95,5,2.2,100,5.5,2.3,105,6
